X,Y,Z,Success,Deviation
0.000,0.000,-52.735,true,0.000
0.000,50.000,-52.705,true,0.030
0.000,100.000,-52.662,true,0.073
0.000,150.000,-52.588,true,0.147
0.000,200.000,-52.515,true,0.220
0.000,250.000,-52.475,true,0.260
0.000,300.000,-52.408,true,0.327
0.000,350.000,-52.382,true,0.353
60.000,0.000,-52.735,true,0.000
60.000,50.000,-52.697,true,0.038
60.000,100.000,-52.632,true,0.103
60.000,150.000,-52.542,true,0.193
60.000,200.000,-52.475,true,0.260
60.000,250.000,-52.420,true,0.315
60.000,300.000,-52.360,true,0.375
60.000,350.000,-52.345,true,0.390
140.300,0.000,-52.690,true,0.045
140.300,50.000,-52.632,true,0.103
140.300,100.000,-52.595,true,0.140
140.300,150.000,-52.518,true,0.217
140.300,200.000,-52.475,true,0.260
140.300,250.000,-52.465,true,0.270
140.300,300.000,-52.425,true,0.310
140.300,350.000,-52.405,true,0.330
200.300,0.000,-52.647,true,0.088
200.300,50.000,-52.625,true,0.110
200.300,100.000,-52.572,true,0.163
200.300,150.000,-52.525,true,0.210
200.300,200.000,-52.475,true,0.260
200.300,250.000,-52.465,true,0.270
200.300,300.000,-52.428,true,0.307
200.300,350.000,-52.408,true,0.327
280.600,0.000,-52.570,true,0.165
280.600,50.000,-52.537,true,0.198
280.600,100.000,-52.533,true,0.202
280.600,150.000,-52.487,true,0.248
280.600,200.000,-52.480,true,0.255
280.600,250.000,-52.467,true,0.268
280.600,300.000,-52.428,true,0.307
280.600,350.000,-52.400,true,0.335
340.600,0.000,-52.600,true,0.135
340.600,50.000,-52.575,true,0.160
340.600,100.000,-52.557,true,0.178
340.600,150.000,-52.507,true,0.228
340.600,200.000,-52.507,true,0.228
340.600,250.000,-52.513,true,0.222
340.600,300.000,-52.487,true,0.248
340.600,350.000,-52.480,true,0.255
