# T-Slot Height Map Raw Data
# Generated: 2025-12-13T19:24:18.520Z
# Probe points: 54

X,Y,Z,,Y,0,60,140.3,200.3,280.6,340.6
23.000,36.000,-37.397,,380,-37.268,-37.185,-37.095,-37.053,-37.107,-37.193
23.000,86.000,-37.415,,350,-37.270,-37.150,-37.075,-37.040,-37.045,-37.167
23.000,136.000,-37.382,,300,-37.292,-37.165,-37.085,-37.020,-37.068,-37.178
23.000,186.000,-37.345,,250,-37.318,-37.188,-37.088,-37.048,-37.075,-37.178
23.000,236.000,-37.345,,200,-37.345,-37.215,-37.095,-37.048,-37.118,-37.178
23.000,286.000,-37.318,,150,-37.345,-37.245,-37.145,-37.110,-37.130,-37.185
23.000,336.000,-37.292,,100,-37.382,-37.327,-37.255,-37.252,-37.185,-37.248
23.000,386.000,-37.270,,50,-37.415,-37.375,-37.295,-37.290,-37.213,-37.268
23.000,416.000,-37.268,,0,-37.397,-37.395,-37.340,-37.312,-37.257,-37.285
83.000,36.000,-37.395,,Deviation,,,,,,
83.000,86.000,-37.375,,380,+0.129,+0.212,+0.302,+0.344,+0.290,+0.204
83.000,136.000,-37.327,,350,+0.127,+0.247,+0.322,+0.357,+0.352,+0.230
83.000,186.000,-37.245,,300,+0.105,+0.232,+0.312,+0.377,+0.329,+0.219
83.000,236.000,-37.215,,250,+0.079,+0.209,+0.309,+0.349,+0.322,+0.219
83.000,286.000,-37.188,,200,+0.052,+0.182,+0.302,+0.349,+0.279,+0.219
83.000,336.000,-37.165,,150,+0.052,+0.152,+0.252,+0.287,+0.267,+0.212
83.000,386.000,-37.150,,100,+0.015,+0.070,+0.142,+0.145,+0.212,+0.149
83.000,416.000,-37.185,,50,-0.018,+0.022,+0.102,+0.107,+0.184,+0.129
163.300,36.000,-37.340,,0,+0.000,+0.002,+0.057,+0.085,+0.140,+0.112
163.300,86.000,-37.295,,,,,,,,
163.300,136.000,-37.255,,,,,,,,
163.300,186.000,-37.145,,,,,,,,
163.300,236.000,-37.095,,,,,,,,
163.300,286.000,-37.088,,,,,,,,
163.300,336.000,-37.085,,,,,,,,
163.300,386.000,-37.075,,,,,,,,
163.300,416.000,-37.095,,,,,,,,
223.300,36.000,-37.312,,,,,,,,
223.300,86.000,-37.290,,,,,,,,
223.300,136.000,-37.252,,,,,,,,
223.300,186.000,-37.110,,,,,,,,
223.300,236.000,-37.048,,,,,,,,
223.300,286.000,-37.048,,,,,,,,
223.300,336.000,-37.020,,,,,,,,
223.300,386.000,-37.040,,,,,,,,
223.300,416.000,-37.053,,,,,,,,
303.600,36.000,-37.257,,,,,,,,
303.600,86.000,-37.213,,,,,,,,
303.600,136.000,-37.185,,,,,,,,
303.600,186.000,-37.130,,,,,,,,
303.600,236.000,-37.118,,,,,,,,
303.600,286.000,-37.075,,,,,,,,
303.600,336.000,-37.068,,,,,,,,
303.600,386.000,-37.045,,,,,,,,
303.600,416.000,-37.107,,,,,,,,
363.600,36.000,-37.285,,,,,,,,
363.600,86.000,-37.268,,,,,,,,
363.600,136.000,-37.248,,,,,,,,
363.600,186.000,-37.185,,,,,,,,
363.600,236.000,-37.178,,,,,,,,
363.600,286.000,-37.178,,,,,,,,
363.600,336.000,-37.178,,,,,,,,
363.600,386.000,-37.167,,,,,,,,
363.600,416.000,-37.193,,,,,,,,
